employee_id,full_name,department,employment_type,role,hire_date
1,Farlie Thome,Finance,Full-time,Recruiter,10/14/2018
2,Maison Luc,Finance,Part-time,Analyst,5/5/2022
3,Richardo Mordaunt,Human Resources,Part-time,Recruiter,6/9/2023
4,Brena Wyldes,Human Resources,Part-time,Team Lead,5/7/2017
5,Vasilis Freire,Human Resources,Part-time,Analyst,2/27/2020
6,Diana Fullom,Human Resources,Part-time,Analyst,9/9/2016
7,Val Cussins,Finance,Full-time,Manager,1/8/2020
8,Prudi Bedlington,Operations,Full-time,Manager,11/20/2018
9,Walsh Colter,Human Resources,Part-time,Recruiter,12/5/2016
10,Nicol Neilly,Operations,Part-time,Coordinator,5/15/2018
11,Chase Kuna,Finance,Part-time,Generalist,7/22/2022
12,Faith McCambrois,Finance,Part-time,Coordinator,6/18/2022
13,Joscelin Kaplin,Finance,Part-time,Recruiter,9/26/2016
14,Farrah Pettinger,Finance,Full-time,Analyst,6/14/2022
15,Codie Meanwell,Finance,Part-time,Team Lead,7/29/2023
16,Dur Moogan,Human Resources,Full-time,Recruiter,7/19/2016
17,Cariotta Scotchbrook,Operations,Part-time,Manager,3/19/2019
18,Donna MacCrachen,Finance,Part-time,Generalist,8/24/2020
19,Angy Sircombe,Human Resources,Full-time,Recruiter,4/25/2021
20,Aguste Burchill,Human Resources,Full-time,Analyst,6/22/2023
21,Lilly Lamanby,Operations,Part-time,Coordinator,9/4/2021
22,Jeremias Lochhead,Operations,Part-time,Manager,4/6/2017
23,Lonnard Chantree,Operations,Full-time,Manager,8/26/2019
24,Jolie Dunkerly,Human Resources,Part-time,Analyst,2/19/2019
25,Elinore Lampbrecht,Finance,Part-time,Team Lead,11/3/2022
26,Jefferson Paoli,Finance,Full-time,Team Lead,12/24/2015
27,Helaine Jailler,Finance,Full-time,Generalist,4/4/2018
28,Reta Beatey,Operations,Full-time,Team Lead,7/21/2015
29,Maegan Giacopetti,Finance,Part-time,Analyst,8/28/2020
30,Regine Silvester,Finance,Part-time,Analyst,4/28/2021
31,Rene Cherry,Finance,Full-time,Coordinator,10/12/2019
32,Henry Dash,Finance,Full-time,Team Lead,10/2/2020
33,Robin Alger,Finance,Part-time,Analyst,9/25/2015
